name,ingredients,type,meal,instructions
Cauliflower Turmeric Fenugreek Curry,"cauliflower, turmeric, fenugreek, spinach, garlic, cumin",vegetarian,lunch,"To prepare Recipe 115, start by gathering the ingredients: cauliflower, turmeric, fenugreek, spinach, garlic, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Lemon Tomato Curry,"coriander, lemon, tomato, cumin, turmeric",vegan,dinner,"To prepare Recipe 116, start by gathering the ingredients: coriander, lemon, tomato, cumin, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Black pepper Beans Curry,"mint, black pepper, beans, zucchini, turmeric, paneer, sprouts",vegan,lunch,"To prepare Recipe 117, start by gathering the ingredients: mint, black pepper, beans, zucchini, turmeric, paneer, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Beans Ginger Curry,"coconut, beans, ginger, coriander, sprouts",vegan,breakfast,"To prepare Recipe 118, start by gathering the ingredients: coconut, beans, ginger, coriander, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Oats Onion Curry,"coconut, oats, onion, rice, potato",vegan,dinner,"To prepare Recipe 119, start by gathering the ingredients: coconut, oats, onion, rice, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Mustard seeds Tomato Curry,"carrot, mustard seeds, tomato, spinach, coconut",healthy,lunch,"To prepare Recipe 120, start by gathering the ingredients: carrot, mustard seeds, tomato, spinach, coconut. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"zucchini, moong dal, quinoa, tomato, yogurt, chili, mustard seeds",vegan,dinner,"To prepare Recipe 121, start by gathering the ingredients: zucchini, moong dal, quinoa, tomato, yogurt, chili, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coriander Ginger Chili Curry,"coriander, ginger, chili, lemon, carrot, cauliflower",vegan,dinner,"To prepare Recipe 122, start by gathering the ingredients: coriander, ginger, chili, lemon, carrot, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Yogurt Fenugreek Curry,"cauliflower, yogurt, fenugreek, coconut, zucchini, mint, coriander, lemon",healthy,dinner,"To prepare Recipe 123, start by gathering the ingredients: cauliflower, yogurt, fenugreek, coconut, zucchini, mint, coriander, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Lemon Rice Cauliflower Curry,"lemon, rice, cauliflower, tomato, mustard seeds, mint, paneer",vegetarian,lunch,"To prepare Recipe 124, start by gathering the ingredients: lemon, rice, cauliflower, tomato, mustard seeds, mint, paneer. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Paneer Cauliflower Curry,"coconut, paneer, cauliflower, lemon, sprouts",healthy,dinner,"To prepare Recipe 125, start by gathering the ingredients: coconut, paneer, cauliflower, lemon, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Broccoli Mustard seeds Yogurt Curry,"broccoli, mustard seeds, yogurt, coriander, garlic, quinoa",healthy,dinner,"To prepare Recipe 126, start by gathering the ingredients: broccoli, mustard seeds, yogurt, coriander, garlic, quinoa. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Paneer Yogurt Cauliflower Curry,"paneer, yogurt, cauliflower, sprouts, capsicum",healthy,breakfast,"To prepare Recipe 127, start by gathering the ingredients: paneer, yogurt, cauliflower, sprouts, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Coriander Turmeric Curry,"mint, coriander, turmeric, carrot, chili, tomato, onion, green peas",healthy,lunch,"To prepare Recipe 128, start by gathering the ingredients: mint, coriander, turmeric, carrot, chili, tomato, onion, green peas. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Broccoli Paneer Rice Curry,"broccoli, paneer, rice, mustard seeds, yogurt",healthy,dinner,"To prepare Recipe 129, start by gathering the ingredients: broccoli, paneer, rice, mustard seeds, yogurt. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Capsicum Paneer Fenugreek Curry,"capsicum, paneer, fenugreek, cauliflower, coriander, moong dal",vegan,dinner,"To prepare Recipe 130, start by gathering the ingredients: capsicum, paneer, fenugreek, cauliflower, coriander, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Carrot Mustard seeds Curry,"coconut, carrot, mustard seeds, cauliflower, rice",vegetarian,breakfast,"To prepare Recipe 131, start by gathering the ingredients: coconut, carrot, mustard seeds, cauliflower, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Beans Carrot Curry,"garlic, beans, carrot, cauliflower, ginger, zucchini, lemon",vegetarian,dinner,"To prepare Recipe 132, start by gathering the ingredients: garlic, beans, carrot, cauliflower, ginger, zucchini, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Sprouts Beans Curry,"cauliflower, sprouts, beans, quinoa, carrot, garlic",healthy,dinner,"To prepare Recipe 133, start by gathering the ingredients: cauliflower, sprouts, beans, quinoa, carrot, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Moong dal Paneer Curry,"onion, moong dal, paneer, green peas, black pepper",vegan,lunch,"To prepare Recipe 134, start by gathering the ingredients: onion, moong dal, paneer, green peas, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Capsicum Moong dal Curry,"rice, capsicum, moong dal, potato, cumin",vegan,breakfast,"To prepare Recipe 135, start by gathering the ingredients: rice, capsicum, moong dal, potato, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Lemon Mustard seeds Chili Curry,"lemon, mustard seeds, chili, mint, onion, zucchini, ginger, turmeric",vegetarian,dinner,"To prepare Recipe 136, start by gathering the ingredients: lemon, mustard seeds, chili, mint, onion, zucchini, ginger, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Moong dal Oats Fenugreek Curry,"moong dal, oats, fenugreek, tomato, chili",healthy,dinner,"To prepare Recipe 137, start by gathering the ingredients: moong dal, oats, fenugreek, tomato, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Ginger Mint Coriander Curry,"ginger, mint, coriander, chili, garlic, beans",healthy,lunch,"To prepare Recipe 138, start by gathering the ingredients: ginger, mint, coriander, chili, garlic, beans. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Garlic Carrot Curry,"turmeric, garlic, carrot, cumin, zucchini, capsicum",vegetarian,lunch,"To prepare Recipe 139, start by gathering the ingredients: turmeric, garlic, carrot, cumin, zucchini, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Moong dal Rice Cumin Curry,"moong dal, rice, cumin, potato, oats, beans, fenugreek",vegetarian,lunch,"To prepare Recipe 140, start by gathering the ingredients: moong dal, rice, cumin, potato, oats, beans, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Coconut Broccoli Curry,"onion, coconut, broccoli, lemon, rice",healthy,lunch,"To prepare Recipe 141, start by gathering the ingredients: onion, coconut, broccoli, lemon, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Moong dal Zucchini Yogurt Curry,"moong dal, zucchini, yogurt, tomato, potato",vegan,dinner,"To prepare Recipe 142, start by gathering the ingredients: moong dal, zucchini, yogurt, tomato, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Broccoli Coriander Potato Curry,"broccoli, coriander, potato, lemon, cumin, black pepper",vegetarian,breakfast,"To prepare Recipe 143, start by gathering the ingredients: broccoli, coriander, potato, lemon, cumin, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Mint Coriander Tomato Curry,"mint, coriander, tomato, mustard seeds, cumin, ginger, zucchini, carrot",vegan,dinner,"To prepare Recipe 144, start by gathering the ingredients: mint, coriander, tomato, mustard seeds, cumin, ginger, zucchini, carrot. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Rice Turmeric Curry,"beans, rice, turmeric, quinoa, zucchini, chili, cumin, capsicum",healthy,dinner,"To prepare Recipe 145, start by gathering the ingredients: beans, rice, turmeric, quinoa, zucchini, chili, cumin, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Spinach Zucchini Onion Curry,"spinach, zucchini, onion, black pepper, fenugreek, coconut, cauliflower, cumin",healthy,breakfast,"To prepare Recipe 146, start by gathering the ingredients: spinach, zucchini, onion, black pepper, fenugreek, coconut, cauliflower, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Ginger Carrot Curry,"black pepper, ginger, carrot, moong dal, lemon, paneer, turmeric",healthy,dinner,"To prepare Recipe 147, start by gathering the ingredients: black pepper, ginger, carrot, moong dal, lemon, paneer, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Zucchini Cauliflower Turmeric Curry,"zucchini, cauliflower, turmeric, paneer, garlic, quinoa, capsicum",healthy,dinner,"To prepare Recipe 148, start by gathering the ingredients: zucchini, cauliflower, turmeric, paneer, garlic, quinoa, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Fenugreek Oats Curry,"garlic, fenugreek, oats, cauliflower, ginger, black pepper, sprouts, chili",vegetarian,dinner,"To prepare Recipe 149, start by gathering the ingredients: garlic, fenugreek, oats, cauliflower, ginger, black pepper, sprouts, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Green peas Cumin Coconut Curry,"green peas, cumin, coconut, moong dal, potato, spinach, yogurt, turmeric",healthy,dinner,"To prepare Recipe 150, start by gathering the ingredients: green peas, cumin, coconut, moong dal, potato, spinach, yogurt, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Turmeric Potato Curry,"cauliflower, turmeric, potato, lemon, garlic",healthy,breakfast,"To prepare Recipe 151, start by gathering the ingredients: cauliflower, turmeric, potato, lemon, garlic. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Capsicum Sprouts Cauliflower Curry,"capsicum, sprouts, cauliflower, mustard seeds, rice, lemon, paneer",healthy,breakfast,"To prepare Recipe 152, start by gathering the ingredients: capsicum, sprouts, cauliflower, mustard seeds, rice, lemon, paneer. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Rice Coriander Coconut Curry,"rice, coriander, coconut, potato, spinach, lemon, oats",vegetarian,lunch,"To prepare Recipe 153, start by gathering the ingredients: rice, coriander, coconut, potato, spinach, lemon, oats. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Oats Beans Curry,"black pepper, oats, beans, green peas, lemon",vegetarian,lunch,"To prepare Recipe 154, start by gathering the ingredients: black pepper, oats, beans, green peas, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Aloo Tamatar Curry,"tomato, potato, sprouts, zucchini, black pepper, spinach, capsicum",vegan,lunch,"To prepare Recipe 155, start by gathering the ingredients: tomato, potato, sprouts, zucchini, black pepper, spinach, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Capsicum Lemon Coconut Curry,"capsicum, lemon, coconut, mustard seeds, mint, turmeric, paneer, potato",healthy,breakfast,"To prepare Recipe 156, start by gathering the ingredients: capsicum, lemon, coconut, mustard seeds, mint, turmeric, paneer, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"capsicum, quinoa, lemon, yogurt, black pepper, rice",healthy,lunch,"To prepare Recipe 157, start by gathering the ingredients: capsicum, quinoa, lemon, yogurt, black pepper, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Coriander Zucchini Curry,"coconut, coriander, zucchini, fenugreek, mint, carrot, black pepper",vegetarian,breakfast,"To prepare Recipe 158, start by gathering the ingredients: coconut, coriander, zucchini, fenugreek, mint, carrot, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Mint Cauliflower Curry,"potato, mint, cauliflower, mustard seeds, carrot",healthy,breakfast,"To prepare Recipe 159, start by gathering the ingredients: potato, mint, cauliflower, mustard seeds, carrot. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Paneer Yogurt Sprouts Curry,"paneer, yogurt, sprouts, coriander, oats, green peas, beans, turmeric",vegan,breakfast,"To prepare Recipe 160, start by gathering the ingredients: paneer, yogurt, sprouts, coriander, oats, green peas, beans, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Carrot Yogurt Curry,"garlic, carrot, yogurt, broccoli, coconut, oats, tomato, chili",vegan,lunch,"To prepare Recipe 161, start by gathering the ingredients: garlic, carrot, yogurt, broccoli, coconut, oats, tomato, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Chili Zucchini Sprouts Curry,"chili, zucchini, sprouts, paneer, beans, turmeric, cauliflower",vegetarian,dinner,"To prepare Recipe 162, start by gathering the ingredients: chili, zucchini, sprouts, paneer, beans, turmeric, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Tomato Green peas Curry,"turmeric, tomato, green peas, onion, lemon, black pepper, garlic, moong dal",vegetarian,dinner,"To prepare Recipe 163, start by gathering the ingredients: turmeric, tomato, green peas, onion, lemon, black pepper, garlic, moong dal. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Sprouts Spinach Beans Curry,"sprouts, spinach, beans, coconut, paneer, fenugreek, black pepper",healthy,breakfast,"To prepare Recipe 164, start by gathering the ingredients: sprouts, spinach, beans, coconut, paneer, fenugreek, black pepper. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Coriander Tomato Curry,"turmeric, coriander, tomato, moong dal, cauliflower, oats, mustard seeds",vegan,breakfast,"To prepare Recipe 165, start by gathering the ingredients: turmeric, coriander, tomato, moong dal, cauliflower, oats, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Mint Spinach Curry,"garlic, mint, spinach, rice, tomato, potato, cauliflower, green peas",healthy,dinner,"To prepare Recipe 166, start by gathering the ingredients: garlic, mint, spinach, rice, tomato, potato, cauliflower, green peas. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Capsicum Mint Curry,"turmeric, capsicum, mint, ginger, chili",healthy,dinner,"To prepare Recipe 167, start by gathering the ingredients: turmeric, capsicum, mint, ginger, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Ginger Onion Beans Curry,"ginger, onion, beans, sprouts, cauliflower, coriander, yogurt",healthy,dinner,"To prepare Recipe 168, start by gathering the ingredients: ginger, onion, beans, sprouts, cauliflower, coriander, yogurt. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Spinach Garlic Curry,"onion, spinach, garlic, tomato, chili, mint, oats, cumin",vegetarian,dinner,"To prepare Recipe 169, start by gathering the ingredients: onion, spinach, garlic, tomato, chili, mint, oats, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Garlic Fenugreek Curry,"tomato, garlic, fenugreek, ginger, cumin, quinoa, capsicum",vegetarian,breakfast,"To prepare Recipe 170, start by gathering the ingredients: tomato, garlic, fenugreek, ginger, cumin, quinoa, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"black pepper, turmeric, quinoa, paneer, cauliflower",vegetarian,dinner,"To prepare Recipe 171, start by gathering the ingredients: black pepper, turmeric, quinoa, paneer, cauliflower. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Potato Cumin Curry,"black pepper, potato, cumin, rice, chili, garlic, sprouts, coriander",vegan,lunch,"To prepare Recipe 172, start by gathering the ingredients: black pepper, potato, cumin, rice, chili, garlic, sprouts, coriander. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Potato Coconut Garlic Curry,"potato, coconut, garlic, paneer, fenugreek",vegetarian,lunch,"To prepare Recipe 173, start by gathering the ingredients: potato, coconut, garlic, paneer, fenugreek. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Zucchini Sprouts Beans Curry,"zucchini, sprouts, beans, paneer, mustard seeds, yogurt, coconut, chili",healthy,dinner,"To prepare Recipe 174, start by gathering the ingredients: zucchini, sprouts, beans, paneer, mustard seeds, yogurt, coconut, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cumin Ginger Lemon Curry,"cumin, ginger, lemon, black pepper, moong dal, onion, broccoli",vegan,dinner,"To prepare Recipe 175, start by gathering the ingredients: cumin, ginger, lemon, black pepper, moong dal, onion, broccoli. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"quinoa, coriander, mint, ginger, sprouts, potato, cauliflower, chili",healthy,dinner,"To prepare Recipe 176, start by gathering the ingredients: quinoa, coriander, mint, ginger, sprouts, potato, cauliflower, chili. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Spinach Sprouts Mint Curry,"spinach, sprouts, mint, turmeric, cumin, zucchini, rice",vegetarian,lunch,"To prepare Recipe 177, start by gathering the ingredients: spinach, sprouts, mint, turmeric, cumin, zucchini, rice. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Spinach Turmeric Curry,"carrot, spinach, turmeric, coconut, moong dal, tomato, cumin",vegan,dinner,"To prepare Recipe 178, start by gathering the ingredients: carrot, spinach, turmeric, coconut, moong dal, tomato, cumin. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Yogurt Paneer Black pepper Curry,"yogurt, paneer, black pepper, cumin, sprouts",vegetarian,lunch,"To prepare Recipe 179, start by gathering the ingredients: yogurt, paneer, black pepper, cumin, sprouts. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Coconut Zucchini Spinach Curry,"coconut, zucchini, spinach, black pepper, turmeric, quinoa, green peas",vegan,lunch,"To prepare Recipe 180, start by gathering the ingredients: coconut, zucchini, spinach, black pepper, turmeric, quinoa, green peas. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cumin Fenugreek Capsicum Curry,"cumin, fenugreek, capsicum, potato, spinach",vegetarian,dinner,"To prepare Recipe 181, start by gathering the ingredients: cumin, fenugreek, capsicum, potato, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Garlic Moong dal Zucchini Curry,"garlic, moong dal, zucchini, mint, beans, lemon",healthy,lunch,"To prepare Recipe 182, start by gathering the ingredients: garlic, moong dal, zucchini, mint, beans, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Carrot Lemon Mint Curry,"carrot, lemon, mint, coriander, rice, paneer, onion",vegan,dinner,"To prepare Recipe 183, start by gathering the ingredients: carrot, lemon, mint, coriander, rice, paneer, onion. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"potato, quinoa, cauliflower, lemon, mint, capsicum, oats, paneer",vegetarian,breakfast,"To prepare Recipe 184, start by gathering the ingredients: potato, quinoa, cauliflower, lemon, mint, capsicum, oats, paneer. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Cauliflower Sprouts Turmeric Curry,"cauliflower, sprouts, turmeric, quinoa, carrot, capsicum",healthy,lunch,"To prepare Recipe 185, start by gathering the ingredients: cauliflower, sprouts, turmeric, quinoa, carrot, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Beans Cauliflower Onion Curry,"beans, cauliflower, onion, paneer, sprouts, capsicum",vegetarian,lunch,"To prepare Recipe 186, start by gathering the ingredients: beans, cauliflower, onion, paneer, sprouts, capsicum. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Turmeric Oats Coconut Curry,"turmeric, oats, coconut, ginger, mint",vegetarian,dinner,"To prepare Recipe 187, start by gathering the ingredients: turmeric, oats, coconut, ginger, mint. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Cumin Chili Curry,"black pepper, cumin, chili, ginger, zucchini, carrot, garlic, spinach",healthy,dinner,"To prepare Recipe 188, start by gathering the ingredients: black pepper, cumin, chili, ginger, zucchini, carrot, garlic, spinach. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Cauliflower Mustard seeds Curry,"black pepper, cauliflower, mustard seeds, paneer, potato",vegan,lunch,"To prepare Recipe 189, start by gathering the ingredients: black pepper, cauliflower, mustard seeds, paneer, potato. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Tomato Broccoli Lemon Curry,"tomato, broccoli, lemon, capsicum, turmeric",vegetarian,lunch,"To prepare Recipe 190, start by gathering the ingredients: tomato, broccoli, lemon, capsicum, turmeric. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Fenugreek Sprouts Tomato Curry,"fenugreek, sprouts, tomato, turmeric, black pepper, cauliflower, carrot",vegetarian,dinner,"To prepare Recipe 191, start by gathering the ingredients: fenugreek, sprouts, tomato, turmeric, black pepper, cauliflower, carrot. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Black pepper Carrot Mustard seeds Curry,"black pepper, carrot, mustard seeds, potato, moong dal, onion, mint, coriander",healthy,lunch,"To prepare Recipe 192, start by gathering the ingredients: black pepper, carrot, mustard seeds, potato, moong dal, onion, mint, coriander. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Healthy Quinoa Bowl,"paneer, beans, quinoa, moong dal, lemon",healthy,breakfast,"To prepare Recipe 193, start by gathering the ingredients: paneer, beans, quinoa, moong dal, lemon. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
Onion Potato Cumin Curry,"onion, potato, cumin, spinach, capsicum, mint, mustard seeds",vegetarian,breakfast,"To prepare Recipe 194, start by gathering the ingredients: onion, potato, cumin, spinach, capsicum, mint, mustard seeds. Heat oil in a pan, add spices and sauté aromatics. Add vegetables or main ingredients and cook until tender. Add salt and seasoning to taste. Simmer until done. Serve hot."
